name	faculty
ENGINEERING PHYSICS & INTERNATIONAL STUDIES CO-OP	03
EXCHANGE STUDENT	03
FAMILY MEDICINE RURAL - BRAMPTON	23
GENERAL INTERNAL MEDICINE	23
HONOURS ANTHROPOLOGY & GEOGRAPHY	15
HONOURS ART	14
HONOURS ART & CLASSICS	14
HONOURS ART HISTORY & FRENCH	14
HONOURS ART HISTORY & SOCIOLOGY	14
HONOURS ARTS & SCIENCE & ART HISTORY	07
HONOURS ARTS & SCIENCE & CHEMISTRY	07
HONOURS CLASSICS & ANTHROPOLOGY	14
HONOURS COGNITIVE SCIENCE OF LANGUAGE & POLITICAL SCIENCE	14
HONOURS COMMUNICATION STUDIES & ANTHROPOLOGY	15
HONOURS CULTURAL STUDIES & CRITICAL THEORY & ANTHROPOLOGY	14
HONOURS ENGLISH & PHILOSOPHY	14
HONOURS ENGLISH & PSYCHOLOGY	14
HONOURS FRENCH & LABOUR STUDIES	14
HONOURS FRENCH & THEATRE & FILM STUDIES	14
HONOURS GERONTOLOGY	15
HONOURS GERONTOLOGY & ANTHROPOLOGY	15
HONOURS HEALTH STUDIES & GERONTOLOGY	15
HONOURS LINGUISTICS & THEATRE & FILM STUDIES	14
HONOURS MATHEMATICS & STATISTICS (ORIGINS RESEARCH SPEC)	02
HONOURS MULTIMEDIA & PSYCHOLOGY	14
HONOURS PEACE STUDIES & WOMEN'S STUDIES	14
HONOURS PHYSICS (BIOPHYSICS SPECIALIZATION)	02
MATERNAL FETAL MEDICINE	23
MECHATRONICS ENGINEERING & MANAGEMENT CO-OP	03
ARTS & SCIENCE & SOCIAL WORK	07
BUSINESS 1	06
CIVIL ENG & MANAGEMENT STRUCTURAL/GEOTECHNICAL ENG STR CO-OP	03
CIVIL ENG & SOCIETY-STRUCTURAL/GEOTECHNICAL ENG STREAM	03
CLINICAL INVESTIGATOR PROGRAMME-GASTROENTEROLOGY	23
CONTINUING	07
ELECTRICAL ENGINEERING & INTERNATIONAL STUDIES	03
ENG PHYSICS & MANAGEMENT - NANO- & MICRO-DEVICES CO-OP	03
GERONTOLOGY	15
HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS (CO-OP)	02
HONOURS ART & ART HISTORY	14
HONOURS ART HISTORY & RELIGIOUS STUDIES	14
HONOURS ARTS & SCIENCE	07
HONOURS BIOCHEMISTRY (ORIGINS RESEARCH SPECIALIZATION)	02
HONOURS CLASSICS & FRENCH	14
HONOURS CLASSICS & HISTORY	14
HONOURS CLASSICS & PSYCHOLOGY	14
HONOURS COMMUNICATION STUDIES & SOCIOLOGY	15
HONOURS ECONOMICS & MATHEMATICS	15
HONOURS ECONOMICS & POLITICAL SCIENCE	15
HONOURS FRENCH	14
HONOURS LINGUISTICS & RELIGIOUS STUDIES	14
HONOURS LINGUISTICS & SOCIOLOGY	14
HONOURS MULTIMEDIA & ANTHROPOLOGY	14
HONOURS MULTIMEDIA & GEOGRAPHY	14
HONOURS MULTIMEDIA & PHILOSOPHY	14
HONOURS MULTIMEDIA & RELIGIOUS STUDIES	14
INTERNAL MEDICINE-WATERLOO/WELLINGTON	23
MECHANICAL ENGINEERING & SOCIETY	03
MEDICAL RADIATION SCIENCES -RADIATION THERAPY SPECIALIZATION	02
OTOLARYNGOLOGY	23
PHYSICAL SCIENCES 1	02
RELIGIOUS STUDIES & SOCIAL WORK	15
SOFTWARE ENGINEERING & SOCIETY	03
BIOTECHNOLOGY	03
CHEMICAL ENGINEERING & INTERNATIONAL STUDIES CO-OP	03
CIVIL ENGINEERING INFRASTRUCTURE TECHNOLOGY (B.TECH)	03
CONTINUING	04
CONTINUING	05
CRITICAL CARE	23
ENG PHYSICS-NANO- & MICRO-DEVICES STREAM CO-OP	03
ENGINEERING PHYSICS-INTERDISCIPLINARY ENG STREAM CO-OP	03
FAMILY MEDICINE - NIAGARA	23
FAMILY MEDICINE RURAL - KITCHENER/WATERLOO	23
FRENCH	14
GEOGRAPHY & SOCIAL WORK	15
HONOURS ARTS & SCIENCE & PHYSICS	07
HONOURS COMMUNICATION STUDIES & GERONTOLOGY	15
HONOURS COMMUNICATION STUDIES & PEACE STUDIES	14
HONOURS COMPUTER SCIENCE	03
HONOURS CULTURAL STUDIES & CRITICAL THEORY & RELIGIOUS	14
HONOURS ENGLISH	14
HONOURS HEALTH STUDIES & SOCIOLOGY	15
HONOURS HISTORY & PHILOSOPHY	14
HONOURS LINGUISTICS	14
HONOURS POLITICAL SCIENCE & PSYCHOLOGY	15
LIFE SCIENCES	02
MATERIALS ENGINEERING & MANAGEMENT	03
MECHATRONICS ENGINEERING & SOCIETY CO-OP	03
MEDICINE	21
POLITICAL SCIENCE	15
SOFTWARE ENGINEERING & MANAGEMENT CO-OP	03
SOFTWARE ENGINEERING (EMBEDDED SYSTEMS) CO-OP	03
ARTS & SCIENCE 1	07
CHEMICAL ENGINEERING & INTERNATIONAL STUDIES	03
CIVIL ENG & INTL ST-STRUCTURAL/GEOTECHNICAL ENG STREAM CO-OP	03
CIVIL ENGINEERING & INTERNATIONAL STUDIES	03
CLINICAL INVESTIGATOR PROGRAMME-CARDIOLOGY	23
COMPUTER ENGINEERING & SOCIETY CO-OP	03
ENGLISH & INDIGENOUS STUDIES	14
ENVIRONMENTAL & EARTH SCIENCES 1	02
FAMILY MEDICINE - OBSTETRICS	23
HONOURS ANTHROPOLOGY & ECONOMICS	15
HONOURS ART & HISTORY	14
HONOURS ARTS & SCIENCE & ECONOMICS	07
HONOURS ARTS & SCIENCE & PHILOSOPHY	07
HONOURS COGNITIVE SCIENCE OF LANGUAGE & ENGLISH	14
HONOURS COMMUNICATION STUDIES & ENGLISH	14
HONOURS COMMUNICATION STUDIES & THEATRE & FILM STUDIES	14
HONOURS COMPUTER SCIENCE CO-OP B.A.SC. AS A SECOND DEGREE	03
HONOURS FRENCH & MUSIC	14
HONOURS GEOGRAPHY & POLITICAL SCIENCE	15
HONOURS HISTORY & GEOGRAPHY	14
HONOURS PEACE STUDIES & GEOGRAPHY	14
HONOURS PHILOSOPHY & POLITICAL SCIENCE	14
HONOURS PSYCHOLOGY & RELIGIOUS STUDIES	15
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	15
INTERNAL MEDICINE	23
MECHATRONICS ENGINEERING	03
MECHATRONICS ENGINEERING & MANAGEMENT	03
MEDICAL BIOCHEMISTRY	23
PHYSICAL SCIENCES	02
PSYCHIATRY-WATERLOO/WELLINGTON	23
