target	source	value
MEDICAL ONCOLOGY	INTERNAL MEDICINE	12
MEDICAL RADIATION SCIENCES	HONOURS LIFE SCIENCES	12
MEDICAL RADIATION SCIENCES	LIFE SCIENCES 1	16
MEDICAL RADIATION SCIENCES - RADIOGRAPHY SPECIALIZATION	HONOURS LIFE SCIENCES	6
MEDICAL RADIATION SCIENCES - RADIOGRAPHY SPECIALIZATION	MEDICAL RADIATION SCIENCES	319
MEDICAL RADIATION SCIENCES - RADIOGRAPHY SPECIALIZATION	SCIENCE	10
MEDICAL RADIATION SCIENCES - ULTRASONOGRAPHY SPECIALIZATION	MEDICAL RADIATION SCIENCES	217
MEDICAL RADIATION SCIENCES - ULTRASONOGRAPHY SPECIALIZATION	SCIENCE	8
MEDICAL RADIATION SCIENCES -RADIATION THERAPY SPECIALIZATION	MEDICAL RADIATION SCIENCES	149
MEDICAL RADIATION SCIENCES -RADIATION THERAPY SPECIALIZATION	MEDICAL RADIATION SCIENCES - ULTRASONOGRAPHY SPECIALIZATION	12
MEDICINE	HONOURS ARTS & SCIENCE	8
MEDICINE	HONOURS B HTH SCI (BIOMEDICAL SCIENCES SPECIALIZATION)	6
MEDICINE	HONOURS B HTH SCI (GLOBAL HEALTH SPECIALIZATION)	12
MEDICINE	HONOURS BACHELOR OF HEALTH SCIENCES	182
MEDICINE	HONOURS BIOCHEMISTRY	6
MEDICINE	HONOURS BIOLOGY	6
MEDICINE	HONOURS KINESIOLOGY	8
MIDWIFERY	HONOURS KINESIOLOGY	8
MIDWIFERY	LIFE SCIENCES 1	6
MIDWIFERY	SOCIAL SCIENCES 1	8
MUSIC	MUSIC 1	28
NEUROLOGY	MEDICINE	9
NURSING	LIFE SCIENCES 1	6
NURSING (BASIC ACCELERATED)	HONOURS BIOLOGY	22
NURSING (BASIC ACCELERATED)	HONOURS BIOLOGY & PSYCHOLOGY	10
NURSING (BASIC ACCELERATED)	HONOURS KINESIOLOGY	12
NURSING (BASIC ACCELERATED)	HONOURS LIFE SCIENCES	26
OBSTETRICS & GYNECOLOGY	MEDICINE	21
OPHTHALMOLOGY	MEDICINE	9
ORTHOPEDIC SURGERY	CLINICAL INVESTIGATOR PROGRAMME-ORTHOPEDIC SURGERY	8
ORTHOPEDIC SURGERY	MEDICINE	21
OTOLARYNGOLOGY	MEDICINE	12
PAEDIATRICS	MEDICINE	30
PHILOSOPHY	HONOURS LINGUISTICS	6
PHILOSOPHY	HONOURS PHILOSOPHY	14
PHILOSOPHY	HONOURS PHILOSOPHY & POLITICAL SCIENCE	6
PHILOSOPHY	HUMANITIES	6
PHILOSOPHY	HUMANITIES 1	76
PHILOSOPHY	SOCIAL SCIENCES 1	26
PHYSICAL MEDICINE & REHABILITATION	MEDICINE	15
PHYSICAL SCIENCES	HONOURS MEDICAL & HEALTH PHYSICS	9
PHYSICAL SCIENCES	HONOURS PHYSICS	6
PHYSICAL SCIENCES	LIFE SCIENCES 1	8
PHYSICAL SCIENCES	PHYSICAL SCIENCES 1	32
PHYSICAL SCIENCES	SCIENCE	8
PLASTIC SURGERY	MEDICINE	6
POLITICAL SCIENCE	ECONOMICS	16
POLITICAL SCIENCE	HISTORY	6
POLITICAL SCIENCE	HONOURS POLITICAL SCIENCE	31
POLITICAL SCIENCE	HUMANITIES	6
POLITICAL SCIENCE	HUMANITIES 1	10
POLITICAL SCIENCE	PSYCHOLOGY	6
POLITICAL SCIENCE	SOCIAL SCIENCES	52
POLITICAL SCIENCE	SOCIAL SCIENCES 1	168
POLITICAL SCIENCE & SOCIAL WORK	SOCIAL SCIENCES 1	8
PROCESS AUTOMATION TECHNOLOGY	TECHNOLOGY 1	315
PSYCHIATRY	MEDICINE	21
PSYCHIATRY-WATERLOO/WELLINGTON	MEDICINE	6
PSYCHOLOGY	BUSINESS 1	7
PSYCHOLOGY	ECONOMICS	9
PSYCHOLOGY	HONOURS COGNITIVE SCIENCE OF LANGUAGE	8
PSYCHOLOGY	HONOURS LIFE SCIENCES	6
PSYCHOLOGY	HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	19
PSYCHOLOGY	HONOURS SOCIOLOGY	6
PSYCHOLOGY	HUMANITIES 1	14
PSYCHOLOGY	LIFE SCIENCES	10
PSYCHOLOGY	LIFE SCIENCES 1	19
PSYCHOLOGY	NURSING	8
PSYCHOLOGY	SCIENCE	8
PSYCHOLOGY	SOCIAL SCIENCES	51
PSYCHOLOGY	SOCIAL SCIENCES 1	407
PSYCHOLOGY	SOCIOLOGY	12
PSYCHOLOGY & SOCIAL WORK	SOCIAL SCIENCES 1	18
RELIGIOUS STUDIES	GEOGRAPHY	7
RELIGIOUS STUDIES	HONOURS RELIGIOUS STUDIES	6
RELIGIOUS STUDIES	POLITICAL SCIENCE	8
RELIGIOUS STUDIES	SOCIAL SCIENCES	12
RELIGIOUS STUDIES	SOCIAL SCIENCES 1	38
RELIGIOUS STUDIES	SOCIOLOGY	6
RESPIRATORY MEDICINE/INTERNAL MEDICINE	INTERNAL MEDICINE	9
RHEUMATOLOGY/INTERNAL MEDICINE	INTERNAL MEDICINE	9
SCIENCE	ENGINEERING 1	7
SCIENCE	ENGINEERING 1 CO-OP	15
SCIENCE	ENVIRONMENTAL & EARTH SCIENCES 1	84
SCIENCE	HONOURS KINESIOLOGY	13
SCIENCE	HONOURS KINESIOLOGY 1	6
SCIENCE	KINESIOLOGY GENERAL	26
SCIENCE	LIFE SCIENCES	7
SCIENCE	LIFE SCIENCES 1	184
SCIENCE	MATHEMATICS & STATISTICS 1	30
SCIENCE	MEDICAL RADIATION SCIENCES	44
SCIENCE	PHYSICAL SCIENCES 1	42
SCIENCE	SOCIAL SCIENCES 1	10
SOCIAL SCIENCES	BUSINESS 1	36
SOCIAL SCIENCES	HUMANITIES 1	7
SOCIAL SCIENCES	LIFE SCIENCES 1	6
SOCIAL SCIENCES	SOCIAL SCIENCES 1	367
SOCIAL SCIENCES 1	BUSINESS 1	14
SOCIAL WORK	HONOURS SOCIOLOGY	6
SOCIOLOGY	BUSINESS 1	23
SOCIOLOGY	GEOGRAPHY	6
SOCIOLOGY	HONOURS ANTHROPOLOGY	6
SOCIOLOGY	HONOURS COMMUNICATION STUDIES & SOCIOLOGY	8
SOCIOLOGY	HONOURS SOCIOLOGY	126
SOCIOLOGY	HUMANITIES	15
SOCIOLOGY	HUMANITIES 1	38
SOCIOLOGY	POLITICAL SCIENCE	6
SOCIOLOGY	PSYCHOLOGY	39
SOCIOLOGY	SOCIAL SCIENCES	110
SOCIOLOGY	SOCIAL SCIENCES 1	459
SOCIOLOGY	SOCIOLOGY & SOCIAL WORK	9
SOCIOLOGY & SOCIAL WORK	HONOURS SOCIOLOGY	26
SOCIOLOGY & SOCIAL WORK	HUMANITIES 1	6
SOCIOLOGY & SOCIAL WORK	SOCIAL SCIENCES 1	84
SOFTWARE ENGINEERING	ENGINEERING 1	31
SOFTWARE ENGINEERING	SOFTWARE ENGINEERING CO-OP	10
SOFTWARE ENGINEERING & MANAGEMENT CO-OP	ENGINEERING 1 CO-OP	41
SOFTWARE ENGINEERING (EMBEDDED SYSTEMS)	ENGINEERING 1	22
SOFTWARE ENGINEERING (EMBEDDED SYSTEMS)	SOFTWARE ENGINEERING (EMBEDDED SYSTEMS) CO-OP	7
SOFTWARE ENGINEERING (EMBEDDED SYSTEMS) CO-OP	COMPUTER ENGINEERING CO-OP	6
SOFTWARE ENGINEERING (EMBEDDED SYSTEMS) CO-OP	ENGINEERING 1	16
SOFTWARE ENGINEERING (EMBEDDED SYSTEMS) CO-OP	ENGINEERING 1 CO-OP	67
SOFTWARE ENGINEERING (EMBEDDED SYSTEMS) CO-OP	SOFTWARE ENGINEERING (EMBEDDED SYSTEMS)	15
SOFTWARE ENGINEERING (GAME DESIGN)	ENGINEERING 1	37
SOFTWARE ENGINEERING (GAME DESIGN) CO-OP	ENGINEERING 1	21
SOFTWARE ENGINEERING (GAME DESIGN) CO-OP	ENGINEERING 1 CO-OP	78
SOFTWARE ENGINEERING (GAME DESIGN) CO-OP	SOFTWARE ENGINEERING (GAME DESIGN)	8
SOFTWARE ENGINEERING CO-OP	ELECTRICAL ENGINEERING CO-OP	6
SOFTWARE ENGINEERING CO-OP	ENGINEERING 1	26
SOFTWARE ENGINEERING CO-OP	ENGINEERING 1 CO-OP	105
SOFTWARE ENGINEERING CO-OP	SOFTWARE ENGINEERING	10
SOFTWARE ENGINEERING CO-OP	SOFTWARE ENGINEERING (EMBEDDED SYSTEMS) CO-OP	12
SURGERY	MEDICINE	45
TECHNOLOGY 1	ENGINEERING 1	45
TECHNOLOGY 1	ENGINEERING 1 CO-OP	112
THEATRE & FILM STUDIES	BUSINESS 1	6
THEATRE & FILM STUDIES	ENGLISH	8
THEATRE & FILM STUDIES	HONOURS COMMUNICATION STUDIES	9
THEATRE & FILM STUDIES	HONOURS THEATRE & FILM STUDIES	14
THEATRE & FILM STUDIES	HUMANITIES	8
THEATRE & FILM STUDIES	HUMANITIES 1	68
UROLOGY	MEDICINE	9
VASCULAR SURGERY	SURGERY	12
