target	source	value
HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	HONOURS LIFE SCIENCES	26
HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	HONOURS MOLECULAR BIOLOGY & GENETICS	14
HONOURS BIOLOGY & PSYCHOLOGY	HONOURS LIFE SCIENCES	10
HONOURS BIOLOGY & PSYCHOLOGY	HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	20
HONOURS BIOLOGY & PSYCHOLOGY	LIFE SCIENCES 1	229
HONOURS BIOLOGY (ORIGINS RESEARCH SPECIALIZATION)	HONOURS LIFE SCIENCE (ORIGINS RESEARCH SPECIALIZATION)	6
HONOURS BIOLOGY (ORIGINS RESEARCH SPECIALIZATION)	LIFE SCIENCES 1	12
HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	HONOURS LIFE SCIENCES	6
HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	HONOURS MOLECULAR BIOLOGY & GENETICS	6
HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	LIFE SCIENCES 1	157
HONOURS BUSINESS INFORMATICS	COMPUTER SCIENCE 1	6
HONOURS BUSINESS INFORMATICS CO-OP	COMPUTER SCIENCE 1	13
HONOURS BUSINESS INFORMATICS CO-OP	COMPUTER SCIENCE 1 CO-OP	32
HONOURS BUSINESS INFORMATICS CO-OP	HONOURS COMPUTER SCIENCE CO-OP	6
HONOURS CHEMICAL BIOLOGY	LIFE SCIENCES 1	229
HONOURS CHEMICAL BIOLOGY (CO-OP)	HONOURS CHEMICAL BIOLOGY	72
HONOURS CHEMISTRY	HONOURS CHEMISTRY (ORIGINS RESEARCH SPECIALIZATION)	6
HONOURS CHEMISTRY	LIFE SCIENCES 1	93
HONOURS CHEMISTRY	PHYSICAL SCIENCES 1	52
HONOURS CHEMISTRY (CO-OP)	HONOURS CHEMISTRY	30
HONOURS CLASSICS	HUMANITIES 1	35
HONOURS CLASSICS & ANTHROPOLOGY	HUMANITIES 1	6
HONOURS CLASSICS & ENGLISH	HUMANITIES 1	23
HONOURS CLASSICS & FRENCH	HUMANITIES 1	6
HONOURS CLASSICS & HISTORY	HUMANITIES 1	50
HONOURS CLASSICS & PHILOSOPHY	HUMANITIES 1	13
HONOURS COGNITIVE SCIENCE OF LANGUAGE	HONOURS LINGUISTICS	22
HONOURS COGNITIVE SCIENCE OF LANGUAGE	HUMANITIES 1	76
HONOURS COGNITIVE SCIENCE OF LANGUAGE	LIFE SCIENCES 1	6
HONOURS COGNITIVE SCIENCE OF LANGUAGE	PSYCHOLOGY	9
HONOURS COGNITIVE SCIENCE OF LANGUAGE	SOCIAL SCIENCES 1	6
HONOURS COGNITIVE SCIENCE OF LANGUAGE & ENGLISH	HUMANITIES 1	6
HONOURS COGNITIVE SCIENCE OF LANGUAGE & FRENCH	HUMANITIES 1	20
HONOURS COGNITIVE SCIENCE OF LANGUAGE & SOCIOLOGY	SOCIAL SCIENCES 1	6
HONOURS COMMUNICATION ST & CULTURAL ST AND CRITICAL THEORY	HUMANITIES 1	14
HONOURS COMMUNICATION STUDIES	BUSINESS 1	6
HONOURS COMMUNICATION STUDIES	ENGLISH	15
HONOURS COMMUNICATION STUDIES	HONOURS COMMUNICATION ST & CULTURAL ST AND CRITICAL THEORY	9
HONOURS COMMUNICATION STUDIES	HONOURS COMMUNICATION STUDIES & ENGLISH	13
HONOURS COMMUNICATION STUDIES	HONOURS COMMUNICATION STUDIES & MULTIMEDIA	20
HONOURS COMMUNICATION STUDIES	HUMANITIES	32
HONOURS COMMUNICATION STUDIES	HUMANITIES 1	257
HONOURS COMMUNICATION STUDIES	SOCIAL SCIENCES 1	33
HONOURS COMMUNICATION STUDIES & ENGLISH	ENGLISH	7
HONOURS COMMUNICATION STUDIES & ENGLISH	HONOURS ENGLISH	6
HONOURS COMMUNICATION STUDIES & ENGLISH	HUMANITIES 1	33
HONOURS COMMUNICATION STUDIES & FRENCH	HUMANITIES 1	6
HONOURS COMMUNICATION STUDIES & GEOGRAPHY	HUMANITIES 1	8
HONOURS COMMUNICATION STUDIES & HEALTH STUDIES	SOCIAL SCIENCES 1	6
HONOURS COMMUNICATION STUDIES & HISTORY	HUMANITIES 1	13
HONOURS COMMUNICATION STUDIES & MULTIMEDIA	HONOURS MULTIMEDIA	12
HONOURS COMMUNICATION STUDIES & MULTIMEDIA	HUMANITIES	6
HONOURS COMMUNICATION STUDIES & MULTIMEDIA	HUMANITIES 1	99
HONOURS COMMUNICATION STUDIES & PEACE STUDIES	HUMANITIES 1	9
HONOURS COMMUNICATION STUDIES & PHILOSOPHY	HUMANITIES 1	6
HONOURS COMMUNICATION STUDIES & POLITICAL SCIENCE	HONOURS COMMUNICATION STUDIES	8
HONOURS COMMUNICATION STUDIES & POLITICAL SCIENCE	HONOURS POLITICAL SCIENCE	6
HONOURS COMMUNICATION STUDIES & POLITICAL SCIENCE	HUMANITIES 1	9
HONOURS COMMUNICATION STUDIES & POLITICAL SCIENCE	SOCIAL SCIENCES 1	24
HONOURS COMMUNICATION STUDIES & SOCIOLOGY	HONOURS SOCIOLOGY	9
HONOURS COMMUNICATION STUDIES & SOCIOLOGY	HUMANITIES 1	10
HONOURS COMMUNICATION STUDIES & SOCIOLOGY	SOCIAL SCIENCES 1	27
HONOURS COMMUNICATION STUDIES & SOCIOLOGY	SOCIOLOGY	6
